id;name;publisher;region;languages;group;imagesize;serial;titleid;imgcrc;filename;releasename;trimmedsize;firmware;type;card
1447;Mega Man III GB;Capcom;USA;en;XPA;1024;CTR-RCEE;00040000000EF500;4532B873;xpa-mem3;Mega_Man_3_GB_VC_USA_eShop_3DS-XPA;3624960;510U;4;1
1448;Mega Man IV GB;Capcom;USA;en;XPA;1024;CTR-RCFE;00040000000EF800;B5EFA27F;xpa-mem4;Mega_Man_4_GB_VC_USA_eShop_3DS-XPA;4022272;510U;4;1
1449;Mega Man V GB;Capcom;USA;en;XPA;1024;CTR-RCGE;00040000000EFB00;598A438D;xpa-mem5;Mega_Man_5_GB_VC_USA_eShop_3DS-XPA;4009984;510U;4;1
1450;Mega Man VI NES;Capcom;USA;en;XPA;1024;CTR-TBFE;00040000000A1600;01917567;xpa-mem6;Mega_Man_6_NES_VC_USA_eShop_3DS-XPA;7147520;500U;4;2
1451;Mega Man - Dr Wileys Revenge GB;Capcom;USA;en;XPA;1024;CTR-RAWE;000400000004F100;A9D8E346;xpa-mmwr;Mega_Man_Dr_Wileys_Revenge_GB_VC_USA_eShop_3DS-XPA;3866624;210U;4;1
1452;Mega Man Xtreme 2 GBC;Capcom;USA;en;XPA;1024;CTR-QA2E;00040000000F0000;90986973;xpa-mmx2;Mega_Man_Xtreme_2_GBC_VC_USA_eShop_3DS-XPA;4767744;510U;4;2
1453;Mega Man Xtreme GBC;Capcom;USA;en;XPA;1024;CTR-QAZE;00040000000EFE00;47593093;xpa-mmxt;Mega_Man_Xtreme_GBC_VC_USA_eShop_3DS-XPA;4558848;510U;4;2
1454;Zombie Slayer Diox;UFO Interactive;EUR;en;ABSTRAKT;2048;CTR-JZSP;0004000000093200;6F9D6CDD;as-zsdi;Zombie_Slayer_Diox_eShop_3DS-ABSTRAKT;209182720;201E;4;1
1455;Bird Mania Christmas 3D;Teyon;EUR;en,fr,de,it,es;PUSSYCAT;1024;CTR-JXSP;0004000000112500;6A81403B;cat-jxsp;Bird_Mania_Christmas_3D_EUR_eShop_MULTi5_3DS-PUSSYCAT;25280512;510E;4;1
1456;Cocoro Line Defender;Moving Player;EUR;en,fr,de,it,es;PUSSYCAT;1024;CTR-JFBP;0004000000108E00;F884679F;cat-jfbp;Cocoro_Line_Defender_EUR_eShop_MULTi5_3DS-PUSSYCAT;48328704;510E;4;1
1457;Scribblenauts Unlimited;Warner Bros Games;UKV;en;PUSSYCAT;4096;CTR-ASLX;00040000000B7F00;DC061343;cat-aslx;Scribblenauts_Unlimited_EUR_UK_3DS-PUSSYCAT;525406720;300E;1;1
1458;My First Songs 2;Ringzero Games;EUR;en;ABSTRAKT;4096;CTR-JFXP;0004000000129700;90AE6CB9;as-mfs2;My_First_Songs_2_eShop_3DS-ABSTRAKT;294014976;720E;4;1
1459;Final Fantasy Explorers;Square Enix;JPN;ja;Caravan;8192;CTR-BCEJ;000400000010E200;C06A1DBC;cvn-ffex;Final_Fantasy_Explorers_JPN_3DS-Caravan;599826432;510E;1;1
1461;Pyramids 2;Enjoy Gaming;EUR;en,fr,de,it,es;ABSTRAKT;1024;CTR-JYHP;0004000000138D00;140F5B56;as-pyr2;Pyramids_2_EUR_MULTi5_eShop_3DS-ABSTRAKT;24473600;510E;4;1
1460;Sonic Toon - Island Adventure;SEGA;JPN;ja;Caravan;8192;CTR-BSYJ;000400000014AE00;CD2D9CC6;cvn-stia;Sonic_Toon_Island_Adventure_JPN_3DS-Caravan;907124736;720J;1;1
1462;3D Solitaire;Zen Studios;EUR;en,fr,de,it,es;XPA;1024;CTR-JSLP;000400000008AA00;AE38CF72;xpa-3dsl;3D_Solitaire_EUR_eShop_3DS-XPA;40058880;201E;4;1
1463;Big Hero 6 - Battle In The Bay;GSP;EUR;en,fr,de,it,es,nl;PUSSYCAT;1024;CTR-BH6Z;0004000000147500;A7DB9791;cat-bh6z;Big_Hero_6_Battle_In_The_Bay_EUR_MULTi6_3DS-PUSSYCAT;127242240;700E;1;1
1464;Crazy Kangaroo;Gamelion Studios;EUR;en;PUSSYCAT;1024;CTR-JKGP;00040000000A7E00;20F7392A;cat-jkgp;Crazy_Kangaroo_EUR_eShop_3DS-PUSSYCAT;22667264;500E;4;1
1465;Monster Shooter;Gamelion Studios;EUR;en;PUSSYCAT;1024;CTR-JMSP;00040000000B7500;42B1D0F4;cat-jmsp;Monster_Shooter_EUR_eShop_3DS-PUSSYCAT;56532992;500E;4;1
